trade_date,ticker,regime_label,preferred_structure,confidence,reasons,px_close,vrp,vrp_z,squeeze_score,Options Implied Move,imp_move_pctile_20d,Hedge Wall,Call Wall,Put Wall,d_hedge,d_callw,d_putw,d_lowvol,has_walls,walls_days_since,w_tactical,1 M IV,Gamma Ratio
2026-01-20,GME,BUY_PREMIUM,LONG_CALL,0.6314794384037398,vrp_z=-0.68; d_lowvol=+0.474%,21.1,0.04429273957696467,-0.6789953200311646,0.5350756272647873,0.4506507306928481,,,,,,,,0.004739336492891062,False,,0.0,0.3383724894012697,0.1319723365989779
2026-01-23,INTC,BUY_PREMIUM,LONG_CALL,0.7291194509578119,vrp_z=-1.49; walls_context=ignored_far,54.33,0.019271650048078848,-1.4926620913150992,0.33584897054589735,2.3463492019191343,,,,,,,,0.300570587152586,False,,0.0,0.6842114928401407,2.509152692261944
2026-01-26,INTC,BUY_PREMIUM,LONG_CALL,0.8160799825988296,vrp_z=-2.22; walls_context=ignored_far,45.07,-0.4784178761362793,-2.2173331883235794,0.4988999673728054,1.502347629790492,,,,,,,,0.28999334368759705,False,,0.0,0.5281050254885903,2.1738458395903484
2026-01-27,INTC,BUY_PREMIUM,LONG_CALL,0.7553832847821276,vrp_z=-1.71; walls_context=ignored_far,42.49,-0.5529432737275332,-1.7115273731843956,0.4094537980408043,1.378774416516585,,,,,,,,0.24688161920451873,False,,0.0,0.514095624402736,1.756398609256847
2026-01-28,INTC,BUY_PREMIUM,LONG_CALL,0.7070254682261714,vrp_z=-1.31; walls_context=ignored_far,43.93,-0.5261253324920327,-1.3085455685514276,0.2996727722257803,1.42702261299902,,,,,,,,0.2715684042795356,False,,0.0,0.5146441897961183,1.9474998069829093
2026-01-29,INTC,BUY_PREMIUM,LONG_CALL,0.6769201201802868,vrp_z=-1.06; walls_context=ignored_far,48.76,-0.49811855383377024,-1.0576676681690567,0.23797522533803775,1.7488991099762086,,,,,,,,0.30270713699753893,False,,0.0,0.5682487407578563,7.281075800918442
2026-01-30,INTC,BUY_PREMIUM,LONG_CALL,0.6617481514115894,vrp_z=-0.93; walls_context=ignored_far,48.67,-0.49091188512613904,-0.9312345950965775,0.20952778389672994,1.7728025637892333,0.5,,,,,,,0.30141771111567706,False,,0.0,0.5770805633472945,5.367627706657037
2026-02-02,SOFI,BUY_PREMIUM,LONG_CALL,0.77761364957092,vrp_z=-1.90; walls_context=ignored_far,22.81,0.04385245299857188,-1.896780413091,0.5844789572943919,0.8021333360636687,0.06666666666666667,,,,,,,0.342393686979395,False,,0.0,0.5571327682269489,1.1389843664195842
2026-02-02,SHOP,BUY_PREMIUM,LONG_CALL,0.7377558287478294,vrp_z=-1.56; walls_context=ignored_far,131.23,0.11749521718514844,-1.5646319062319112,0.5609903365051214,5.518953725772634,0.6,,,,,,,-0.08968985750209564,False,,0.0,0.6662865493973622,0.5837140733950527
2026-02-02,INTC,BUY_PREMIUM,LONG_CALL,0.6642951748087129,vrp_z=-0.95; walls_context=ignored_far,46.47,-0.5243186249153293,-0.952459790072607,0.21430345276633656,1.6564329906413895,0.36363636363636365,,,,,,,0.31138368840111896,False,,0.0,0.5647270899662478,2.108242313945351
2026-02-03,SHOP,BUY_PREMIUM,LONG_CALL,0.7780351415591851,vrp_z=-1.90; walls_context=ignored_far,132.18,0.09759117901687664,-1.9002928463265416,0.6151696868049918,5.515523415637468,0.5625,,,,,,,-0.09698895445604473,False,,0.0,0.6610866808438826,0.6978704281251651
2026-02-03,SOFI,BUY_PREMIUM,LONG_CALL,0.7572546157111488,vrp_z=-1.73; walls_context=ignored_far,22.07,0.03976587426897643,-1.727121797592906,0.5796295822651558,0.7406616892296384,0.0625,,,,,,,-0.13275940190303578,False,,0.0,0.53168568837631,0.9881326301604892
