Trade Date,Previous Close,Low Vol Point,High Vol Point,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move
2/24/2026,130.6,138,175,5152398.554610298,13728555.501535801,712570392.304014,'-419731482.47181845,0.28885984213919014,0.0598317429763235,2026-05-14,2026-05-14,260954,282622,0.4916383730465906,0.5177197811918393,1.1019736860544833,0.37530522086128465,1.6976815465631823,'-0.14419065502988304,'-0.13111805999443168,0.7004327036710691,0.5661597733365258,0.24093379766500675,0.06524363271975067,0.02880658436213992,4.6670748215458095
2/23/2026,135.24,138,180,7277556.984356802,17200244.868477672,742885045.1875519,'-405881216.98146963,0.3505869362442554,0.07241540816418256,2026-05-14,2026-05-14,206416,155168,0.5935731726222774,0.4896628170756857,1.1031447526203326,0.423107754570061,1.8303016106839654,'-0.1371771439829296,'-0.12133226509128392,0.6740919447708512,0.5132771154662726,0.16407422635602245,0.04411771607448104,0.025477707006369425,4.381467972963374
2/20/2026,134.91,145,180,24370688.47163057,5493100.08573833,809936173.9891733,'-172498695.58669746,0.40058939858003323,0.13772261946047415,2026-05-14,2026-05-14,257881,511712,0.5998309297699327,0.7708554812081796,1.0269336746202935,4.436600114915782,4.695317673182642,'-0.08386948390650452,'-0.09190549281402348,0.6727558353988591,0.5217606921099878,0.17640424323230422,0.055763175148748845,0.08626198083067091,4.443018050404497
2/19/2026,135.38,145,180,27747672.50417692,8660286.417208692,874014635.5624181,'-149950079.3417508,0.36598777723431003,0.14717323474913419,2026-05-14,2026-05-14,402498,338062,0.5845817867417975,0.5575072028207844,1.0400051879516001,3.204013258619258,5.82870405537068,'-0.10763627083853347,'-0.08349480215737722,0.6888581375294701,0.5305130918768197,0.18912496721055116,0.07808474970848026,0.1217948717948718,4.533286775123641
2/18/2026,133.02,155,114,3377521.6622516974,6627961.428208424,687664561.33489,'-159034187.91714296,0.3648181187001544,0.1467935020611431,2026-05-14,2026-05-14,267690,292269,0.6005566139937988,0.5924371041745788,1.0429784098445214,0.5095868011357243,4.324004607695826,'-0.11834816495193366,'-0.06983442468421475,0.6986250184394642,0.5533167946526861,0.2222678327584737,0.040676913383474685,0.20987654320987656,4.645723665006647
2/17/2026,131.43,150,112,2369962.107863183,5655513.95685263,666035763.8859184,'-162610166.1575656,0.34454349828630626,0.14738067519058076,2026-05-14,2026-05-14,217878,271050,0.5910555448461984,0.5477476480354179,1.0598041838101484,0.41905335676725997,4.095904823321715,'-0.11225777843315009,'-0.10152337137350757,0.6643806500675988,0.5486314536419621,0.2154581655438608,0.13832349305246497,0.06129032258064516,4.551324367364961
2/13/2026,129.1,144,124,'-7742745.828393233,547759.7728703805,568578728.9751455,'-377334821.15091187,0.2105242923829573,0.07211779987852635,2026-05-14,2026-02-12,438386,1060188,0.46049828233565854,0.4300680634000762,1.0020893836947011,14.135294725677934,1.5068281459975494,'-0.12778671924812088,'-0.08537873836904329,0.6561682690038346,0.5534359324873045,0.22244098749887867,0.22435172643793658,0.10679611650485436,4.509788479714133
2/12/2026,135.67,143,180,5128479.286180699,10276804.558599064,627593285.0803795,'-286382477.956176,0.33726037897018374,0.0851748325309691,2026-05-14,2026-05-14,263654,368399,0.5150727847861212,0.43568250728150726,1.0315531835934049,0.49903442815689925,2.191451409874377,'-0.10481472941939554,'-0.08741904658435645,0.6497630520176467,0.5275228883210823,0.18477901009197265,0.2328090195445681,0.0974025974025974,4.517391293222321
2/11/2026,139.49,146,185,2835278.509184256,12913347.42202659,675759834.444665,'-218641436.4893456,0.32188969380914084,0.09179490221610682,2026-05-14,2026-05-14,262555,287031,0.48164384605130356,0.5451954666917511,1.0369748378544597,0.21956185460851593,3.090721709915196,'-0.11419429431406965,'-0.07592025954635222,0.6634119848126724,0.519404414865409,0.1729796336117407,0.284011284036688,0.13680781758957652,4.573106219123645
2/10/2026,142.91,148,185,7387275.908107846,16524889.396552023,679090259.9905127,'-197603841.84590036,0.3003867862934456,0.09635984576038935,2026-05-14,2026-05-14,470888,245383,0.4612859108747728,0.46445352775049614,1.0340138460812842,0.4470393556551869,3.436624782427537,'-0.08114842612491942,'-0.05593568439039466,0.6789844636873582,0.5181070605816265,0.17109406094759727,0.30227205296845083,0.30400000000000005,4.673526480320662
2/9/2026,135.9,135,180,'-10678706.369167726,11269987.148607342,625131173.1960485,'-407782272.2219907,0.3195312750714054,0.09189826328120312,2026-05-14,2026-05-14,291191,223295,0.4263593311606471,0.34653261380684747,1.0462371848631626,0.9475349198146441,1.533002329379675,'-0.10306452796140836,'-0.0867200730578274,0.6189692210527213,0.5292363235040516,0.22990939159741725,0.39345413535350676,0.07276507276507277,4.539747293075846
2/6/2026,129.98,90,160,'-16969087.575410206,7926053.630637983,581949774.8802099,'-628344764.357969,0.2077628129970314,0.10155414923026353,2026-05-14,2026-02-05,648786,746826,0.39565742787298125,0.47716067731975054,0.9614940104862715,2.1409251521862758,0.9261631637447244,'-0.07873834303915146,'-0.08481977644919356,0.6062891992329822,0.6031259037174732,0.3316661004346984,0.44900080886986765,0.07708333333333334,4.948198255708967
2/5/2026,139.51,175,155,'-20502604.74364452,14568220.739740266,644192619.5127147,'-524301318.6011565,0.2631940806386288,0.0841484164378259,2026-03-19,2026-02-05,786378,682457,0.5230970347593651,0.5077389491206039,1.0257364637017243,1.4073513238110131,1.2286686999594623,'-0.10139160545867301,'-0.10574478244028318,0.5925136167871615,0.5722259608590012,0.2891123806888794,0.4296706347467527,0.03757828810020877,5.0388969134279655
2/4/2026,157.87,175,128,1468923.8542332312,9833554.878578907,1030940111.2628859,'-266971193.64544648,0.3039832237459318,0.08561549688108289,2026-03-19,2026-02-12,688755,575012,0.5713787921684779,0.5937076095803218,1.0573082652888042,0.14937872136485317,3.861615544304886,'-0.023072574338962235,'-0.03188924506651228,0.44052469295872626,0.521670905882088,0.21949071015455326,0.18811428123889964,0.25523012552301255,5.1982696403209765
2/3/2026,147.74,175,135,'-11978339.246479973,8428650.350100314,761634391.8209289,'-332942288.46117926,0.22142545742245465,0.0785474564670892,2026-03-19,2026-02-05,487320,363668,0.5596753673151112,0.5211016641552185,1.0571941998884509,1.4211455866522464,2.2875868227527207,'-0.022245768819957684,'-0.016278834885968332,0.37118201128223377,0.6504162586952409,0.363392040224621,0.08121925169092312,0.616,6.065296854108118
2/2/2026,146.59,155,195,'-4562203.23621782,12517933.314442772,923460484.4679649,'-389067532.0811246,0.22429261983846505,0.08392742757798578,2026-03-19,2026-02-05,277726,199302,0.3909176670531387,0.33267603937742724,1.0724480577055286,0.3644533903175617,2.37352235363452,'-0.022158280062456782,'-0.0253817735387108,0.3985719832595606,0.6245997358051997,0.32587034668785764,0.1556586201786589,0.43666666666666665,5.779213234342247
1/30/2026,151.92,165,155,'-25748984.092710618,18368158.772164892,899534080.5756193,'-705626513.8473672,0.25070307423747396,0.06814429966934907,2026-01-29,2026-01-29,588859,527833,0.5299214243138001,0.5448238363270201,1.0103524474900114,1.4018271734307213,1.274801985077046,'-0.07148631160127618,'-0.009550396339845089,0.3889011270868178,0.6235838587315028,0.32439387255566604,0.15129664480699676,0.548494983277592,5.979603598970517
1/29/2026,157.35,170,110,'-4350282.850917059,16539987.528396424,1096949230.2560673,'-608273425.6978482,0.2087474290564032,0.060156174243895626,2026-03-19,2026-01-29,359911,246050,0.5171806363239801,0.526092257671205,1.0511016737565435,0.2630160901541396,1.803381808103125,'-0.05701246828334946,'-0.0066580815617665445,0.3815702118410572,0.6062561855178977,0.2992098597126012,0.14623447060187156,0.5738255033557047,6.021234033405365
1/28/2026,165.7,170,115,26384019.613299873,28421380.33823435,1318607422.6476405,'-467401090.94693273,0.3195899206956428,0.0635094950843706,2026-03-19,2026-01-29,162208,127655,0.5826531367133557,0.5890956092593318,1.0575083833620798,0.9283159121517514,2.8211475073286705,'-0.08648923681326685,'-0.03019094168308059,0.35714018221941274,0.5947438047489826,0.28247778371113497,0.06087770565977061,0.39057239057239057,6.220352739184903
1/27/2026,167.47,170,120,23072004.043679073,25791932.115752447,1375855076.168685,'-419811693.55487186,0.33365717962567426,0.06998692409868403,2026-03-19,2026-01-29,172632,113913,0.594229343343065,0.5342147077155373,1.0574197953414552,0.8945434541364904,3.277314799209738,'-0.08791288669813783,'-0.0370127020818639,0.3665863745483297,0.5923592543674292,0.2790120819580096,0.03680414193131241,0.4156378600823045,6.261592143464834
1/26/2026,169.63,170,120,17907083.694154236,23877035.02678573,1503224045.287603,'-384324423.0151248,0.34702263914173676,0.0793359167154785,2026-03-19,2026-03-19,189534,175520,0.6299291947618897,0.4011565633546035,1.0672060533936343,0.7499709940562433,3.911341448181774,'-0.07043162280551207,'-0.0275939355030153,0.36575014712038123,0.5808331342918956,0.26226003727003433,0.06947753474215321,0.41694915254237286,6.21894367038656
1/23/2026,165.89,165,149,'-8702137.337303713,35800951.130493365,1292700646.312827,'-537743536.4331862,0.18799792084202085,0.03832684884999159,2026-03-19,2026-01-22,278590,226004,0.5101044545748232,0.4970575742022265,1.027098631003212,0.24307000407851428,2.403935256734496,'-0.0836625256112834,'-0.04082297347017984,0.35090038848929156,0.5951108200312443,0.28301120314189976,0.06894111324126763,0.31292517006802717,6.231328279680811
1/22/2026,165.33,170,115,2575118.3300683177,31713228.18139042,1312282784.7791526,'-526823532.97514904,0.1699753970835655,0.039045633250488126,2026-03-19,2026-01-22,50117,35330,0.593790530159427,0.5684404189074441,1.0515249370765,0.08120013249169689,2.4909342552870637,'-0.07617856874353289,'-0.054252489164951026,0.3506773930876684,0.6047577672716306,0.297032061003387,0.08662749902854526,0.23208191126279865,6.310963937576133
1/21/2026,168.58,175,120,14691811.944127671,21331935.89211933,1314762910.9356637,'-416377907.5841984,0.2795867160743756,0.04885159848556646,2026-03-19,2026-01-29,261211,219533,0.4548430196278105,0.4964492809737033,1.0687191820478072,0.6887237997726815,3.1576192852398086,'-0.0957763687361977,'-0.044578301932699585,0.3575215560462566,0.6319803785754279,0.3365973612168227,0.0619078341878543,0.3264462809917355,6.724689277298848
1/20/2026,170.96,170,120,'-827251.5068858351,22691533.109200396,1257624436.1592877,'-378601295.63426155,0.2894086840628692,0.05396550362497643,2026-03-19,2026-03-19,343993,208741,0.5588398601134326,0.5188726699594234,1.0597204276119783,0.03645639555973509,3.321764744762482,'-0.10117854237229489,'-0.04173787619776277,0.4556650443059352,0.6169145957722657,0.31470077631887133,0.10520114351292109,0.288659793814433,6.6570548061116295
1/16/2026,177.09,185,125,58902247.45798027,12479152.77178531,2008017314.0990133,'-137946546.47513652,0.4561140240691156,0.2572231122880904,2026-03-19,2026-03-19,344045,228107,0.5685012135040475,0.5747653513482708,1.0279019953614077,4.720051796397193,14.556488476215229,'-0.07579653189489848,'-0.018617497750297654,0.4512582267842098,0.601755919458035,0.2926691801388541,0.06123226368227758,0.4620689655172414,6.726311669306534
1/15/2026,178.41,185,125,69008641.81884266,12469873.67943485,2009049383.114156,'-164961595.32394537,0.5109220752438466,0.27906687970474586,2026-03-19,2026-03-19,286244,237573,0.6106433671972163,0.4895337433125818,1.041442316028395,5.534028939896223,12.17889157272552,'-0.03690228593783185,'-0.020796927531325032,0.4507719232004034,0.6029132124690586,0.2943511879706918,0.06418549122775258,0.4532871972318339,6.78948092132833
1/14/2026,178.92,185,125,65769260.57114414,14063180.273393115,2028895689.2780888,'-194303974.74856654,0.5038351350239565,0.2872870633802122,2026-03-19,2026-03-19,237671,150193,0.5991307311367394,0.49080849307224705,1.0282015654555803,4.676698960872779,10.441864052979476,'-0.07359274883834765,'-0.01813387470805045,0.462448635867118,0.5942097815096337,0.2817016351796808,0.07177334888600273,0.4652777777777778,6.710598630796165
1/13/2026,179.39,185,125,60127913.65880845,12919919.222946387,2150283752.1245546,'-191655983.74551526,0.5066690443019571,0.30175127522324474,2026-03-19,2026-03-19,311230,145066,0.5939433859203804,0.5780472336729489,1.032248196265795,4.653892382857815,11.219497091099152,'-0.040537555701009476,'-0.006041342555386939,0.4750930471275778,0.5936949695490296,0.2809534082903695,0.05460678785600274,0.6652892561983471,6.722397310320041
1/12/2026,177.44,185,125,43882967.58601321,10501054.492071886,2073704924.9226196,'-185471947.60449404,0.4947706257902128,0.30607271085071924,2026-03-19,2026-03-19,172656,107888,0.6307281530905384,0.581584606258342,1.0618451669438784,4.1789105674238805,11.180693100525641,'-0.05591549759606347,'-0.020012051963900324,0.47002153488242127,0.5755323725682975,0.25455591856468457,0.09741808195113212,0.4615384615384615,6.445904449190096
